id,name,categoryName,subCategoryName,price,currency,stockStatus,preparationTime,specifications,url,Image Src,Additional Images
"3","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","Generator","Gasoline Generator","100","KWD","Out of Stock","1 Days","{""model_number"":""MQ4800"",""rated_watts"":""3300W"",""max_starting_watts"":""3500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""15L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""44KG"",""dimension"":""605mm X 475mm X 490mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/3-mq4800-electrical-start-inverter-generator-3500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766660686.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766660687.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766660687.jpg"
"6","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","Generator","Inverter Generator","85","KWD","Out of Stock","1 Days","{""rated_watts"":""2000W"",""max_starting_watts"":""2200W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Manual"",""horse_power_hp"":""7.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""73.9dBA @ 75%"",""socket"":""1 X 13A"",""net_weight"":""27KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""INVERTER""}","https://aipowerkw.com/en/product/6-mq2500-oi-recoil-start-inverter-generator-2200-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647766.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647766.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647767.jpg"
"9","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","Generator","Inverter Generator","145","KWD","Out of Stock","1 Days","{""rated_watts"":""3500W"",""max_starting_watts"":""3700W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""29KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/9-mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647734.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647734.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647735.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647735.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647736.jpeg"
"12","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","Generator","Gasoline Generator","180","KWD","Out of Stock","1 Days","{""model_number"":""MQ6500"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""15.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""80dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""82KG"",""dimension"":""705mm X 545mm X 575mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/12-mq6500-electrical-start-inverter-generator-5500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775054812.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647714.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647714.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647715.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647716.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647716.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647717.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647718.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_71766647719.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_81766647719.jpeg"
"15","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","Generator","Inverter Generator","185","KWD","Out of Stock","1 Days","{""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""30KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/15-mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647677.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647678.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647678.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647679.jpeg"
"18","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","Generator","Inverter Generator","220","KWD","Out of Stock","1 Days","{""model_number"":""MQ7500-SI"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""10L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""45KG"",""dimension"":""625mm X 485mm X 570mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/18-mq7500-si-silent-inverter-generator-5500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647648.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647649.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647649.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647649.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647650.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647651.jpeg"
"21","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","Generator","Inverter Generator","295","KWD","Out of Stock","1 Days","{""rated_watts"":""7000W"",""max_starting_watts"":""8000W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""18.0 HP"",""fuel_tank_capacity"":""25L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""82.6dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""70KG"",""dimension"":""680mm X 535mm X 615mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/21-mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647614.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647615.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647615.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647616.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647616.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647617.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647617.jpeg"
"24","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","Generator","Gasoline Generator","230","KWD","Out of Stock","1 Days","{""model_number"":""MQ 13000"",""rated_watts"":""9000W"",""max_starting_watts"":""9500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""83dBA @ 75%"",""socket"":""1 X 13A, 1 X 40A"",""net_weight"":""92KG"",""dimension"":""705mm X 545mm X 575mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/24-mq13000-electrical-start-inverter-generator-9500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647574.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647573.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647573.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647574.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647575.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647575.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647576.jpeg"
"27","Mq14000 Si Silent Inverter Generator 9800 Max Starting Watts","Generator","Inverter Generator","535","KWD","Out of Stock","1 Days","{""rated_watts"":""9000W"",""max_starting_watts"":""9800W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""32L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""72.7dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A, 1 X 40A"",""net_weight"":""92KG"",""dimension"":""910mm X 675mm X 810mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/27-mq14000-si-silent-inverter-generator-9800-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647458.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647458.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647459.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647459.jpeg"
"30","Mq15800 Oi Remote Control Inverter Generator 9800 Max Starting Watts","Generator","Inverter Generator","375","KWD","Out of Stock","1 Days","{""rated_watts"":""9000W"",""max_starting_watts"":""9800W"",""volts"":""230V/400V"",""phase_frequency"":""Three"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""28L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""82.9dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A, 1 X 50A"",""net_weight"":""74KG"",""dimension"":""735mm X 538mm X 643mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/30-mq15800-oi-remote-control-inverter-generator-9800-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647430.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647431.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647431.jpg"
"33","Mq10000i Diesel Inverter Generator 6500 Max Starting Watts","Generator","Inverter Generator","390","KWD","Out of Stock","1 Days","{""model_number"":""MQ10000i"",""rated_watts"":""6000W"",""max_starting_watts"":""6500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""11.0 HP"",""fuel_tank_capacity"":""25L"",""engine_oil_capacity"":""1.65L"",""noise_level"":""77dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A,"",""net_weight"":""167KG"",""dimension"":""780mm X 615mm X 810mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/33-mq10000i-diesel-inverter-generator-6500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647405.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647406.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647406.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647406.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647407.jpeg"
"36","Mq13000i Diesel Inverter Generator 8500 Max Starting Watts","Generator","Inverter Generator","540","KWD","Out of Stock","1 Days","{""rated_watts"":""8000W"",""max_starting_watts"":""8500W"",""volts"":""230V/400V"",""phase_frequency"":""Three"",""starting_method"":""Electrical"",""horse_power_hp"":""13.0 HP"",""fuel_tank_capacity"":""25L"",""engine_oil_capacity"":""2.1L"",""noise_level"":""77dBA @ 75%"",""socket"":""1 X 40A, 1 X 16A,"",""net_weight"":""180KG"",""dimension"":""780mm X 615mm X 810mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/36-mq13000i-diesel-inverter-generator-8500-max-starting-watts","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647385.jpeg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647383.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647384.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647385.jpeg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647386.jpeg"
"63","Aipower 13000w","Generator","Gasoline Generator","225","KWD","Out of Stock","1 Days","{""fuel_type"":""Gasoline""}","https://aipowerkw.com/en/product/63-aipower-13000w","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767557653.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767557659.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767557665.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767557692.jpg"
"66","Aipower Sua18000e 11 000w Gasoline Generator Home Backup","Generator","Gasoline Generator","600","KWD","Out of Stock","1 Days","{""fuel_type"":""Gasoline""}","https://aipowerkw.com/en/product/66-aipower-sua18000e-11-000w-gasoline-generator-home-backup","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767559481.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767559488.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767559494.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01767559500.jpg"
